Spices,Area-2008-09,Production-2008-09,Productivity-2008-09,Area-2009-10,Production-2009-10,Productivity-2009-10,Area-2010-11,Production-2010-11,Productivity-2010-11,Area-2011-12,Production-2011-12,Productivity-2011-12,Area-2012-13,Production-2012-13,Productivity-2012-13,Area-2013-14,Production-2013-14,Productivity-2013-14,"Area-2014-15 @","Production-2014-15 @","Productivity-2014-15 @"
Chilies,779.05,1269.85,1.6,767.23,1202.94,1.6,792.1,1223.4,1.5,805,1276,1.6,794,1304,1.6,774.87,1492.14,1.92566495,743.64,1453.13,1.954077242
Garlic,166.21,831.1,5,164.86,833.97,5.1,200.6,1057.8,5.3,242,1228,5.1,248,1259,5.1,230.59,1251.88,5.42902988,244.07,1291.56,5.29176056
Turmeric,181.09,821.16,4.5,180.96,792.98,4.4,195.1,992.9,5.1,219,1167,5.3,194,971,5,232.67,1189.89,5.114067134,189.14,851.66,4.502802157
Ginger,108.64,380.1,3.5,107.54,385.33,3.6,149.1,702,4.7,155,756,4.9,136,683,5,132.621,655.06,4.939338415,137.506,703.53,5.116358559
Coriander,396.85,242.13,0.6,360,236.72,0.7,530.5,482,0.9,558,533,1,543,524,1,447.13,313.65,0.701473844,469.69,344.44,0.733334753
Tamarind,54.63,177.68,3.3,57.99,185.46,3.2,59.6,206.3,3.5,58,203,3.5,58,202,3.5,58.59,188.13,3.210957501,56.78,208.65,3.674709405
Cumin,429.38,172.47,0.4,377.01,156.33,0.4,507.8,314.2,0.6,594,394,0.7,594,394,0.7,858.9,513.85,0.598265223,943.8,598.5,0.634138589
Fenugreek,68.29,76.58,1.1,43.25,57.44,1.3,81.2,118.4,1.5,94,116,1.2,93,113,1.2,65.94,89.61,1.358962693,66.24,85.7,1.293780193
Fennel,47.16,64.29,1.4,50.67,56.55,1.1,61.8,105.4,1.7,100,143,1.4,100,143,0.014,54.16,70.12,1.294682422,38.66,59.71,1.544490429
Pepper,238.71,47.4,0.2,195.92,51.02,0.3,183.8,52,0.3,200,41,0.2,125,53,0.4,123.81,50.87,0.410871497,123.62,54.59,0.441595211
Ajwan,19.59,16.41,0.8,17.06,10.27,0.6,25.8,22.2,0.9,35,27,0.8,35,27,0.8,26.67,19.2,0.719910011,27.23,17.85,0.655526992
Cardamom,91.99,15.45,0.2,90.2,15.72,0.2,86.7,15.7,0.2,89,16,0.2,92,18,0.2,92.84,21.28,0.229211547,91.71,21.8,0.237705812
Nutmeg,15.27,11.37,0.7,15.05,8,0.5,16.1,11.4,0.7,17,13,0.8,NA,NA,NA,18.9,12.78,0.676190476,20.11,13.46,0.669318747
Tejpat/Cinnamon,3.31,6.65,3.9,4.24,8.75,3.9,2.9,5,1.7,3,5,1.7,3,5,1.7,2.77,5.05,1.823104693,2.75,5.05,1.836363636
Clove,2.57,1.33,0.5,2.6,1.16,0.4,2.4,1.2,0.5,2,1,0.5,2,1,0.5,2.06,1.07,0.519417476,2.27,1.22,0.537444934
Others,26.72,10.94,0.63,28.7,13.28,0.73,44.7,40.6,0.9,41,32,0.8,41,34,0.8,40.72,33.71,0.827848723,30.83,21.57,0.699643205
Total,2629.46,4144.91,1.6,2463.28,4015.92,1.6,2940.2,5350.5,1.8,3212,5951,1.9,3075.9,5743.5,1.9,3163.241,5908.29,1.867796352,3188.046,5732.42,1.798098271
