"Sl. No.",Category,"Rank of Police Personnel","by North East Insurgents","By Terrorists/Extremists/ Zihadis","By Left Wing Extremists","in Border Firing","by Riotous Mobs","by Criminals/ Gangsters/ Dacoits","Accidentally with Self Weapon","in Accidents",Total
1,"A) Personnel Killed in Police Operations",Constables,0,12,20,8,0,6,6,181,233
2,"A) Personnel Killed in Police Operations","Head Constables",0,0,9,1,0,2,0,88,100
3,"A) Personnel Killed in Police Operations","Assistant Sub-Inspectors",0,2,1,0,0,0,1,37,41
4,"A) Personnel Killed in Police Operations",Sub-Inspectors,0,1,1,2,0,2,0,26,32
5,"A) Personnel Killed in Police Operations",Inspectors,0,1,1,0,1,1,0,4,8
6,"A) Personnel Killed in Police Operations","Gazetted Officers",0,0,1,0,0,0,0,1,2
7,"A) Personnel Killed in Police Operations",Others,0,2,7,0,0,0,0,2,11
"Total Police Personnel","Total Police Personnel","Total Police Personnel",0,18,40,11,1,11,7,339,427
1,"B) Personnel Injured in Police Operations",Constables,0,25,72,61,323,247,2,221,951
2,"B) Personnel Injured in Police Operations","Head Constables",0,5,15,1,68,55,0,94,238
3,"B) Personnel Injured in Police Operations","Assistant Sub-Inspectors",0,1,4,0,32,50,0,19,106
4,"B) Personnel Injured in Police Operations",Sub-Inspectors,0,1,6,0,75,93,1,26,202
5,"B) Personnel Injured in Police Operations",Inspectors,0,0,3,0,24,12,0,5,44
6,"B) Personnel Injured in Police Operations","Gazetted Officers",0,0,5,0,9,2,0,2,18
7,"B) Personnel Injured in Police Operations",Others,0,3,27,0,18,20,0,5,73
"Total Police Personnel","Total Police Personnel","Total Police Personnel",0,35,132,62,549,479,3,372,1632
