"Sl. No.",State/UT,"Rs. 2000 - Notes","Rs. 2000 - Value","Rs. 1000 (Discontinued) - Notes","Rs. 1000 (Discontinued) - Value","Rs. 500 (may include discontinued notes) - Notes","Rs. 500 (may include discontinued notes) - Value","Rs. 200 - Notes","Rs. 200 - Value","Rs. 100 - Notes","Rs. 100 - Value","Rs. 50 - Notes","Rs. 50 - Value","Rs. 20 - Notes","Rs. 20 - Value","Rs. 10 - Notes","Rs. 10 - Value","Others (Including Coins) - Notes","Others (Including Coins) - Value","Total Fake Indian Currency Seized - Notes","Total Fake Indian Currency Seized - Value"
1,"Andhra Pradesh",5012,10024000,0,0,7999,3999500,787,157400,3902,390200,3004,150200,0,0,0,0,0,0,20704,14721300
2,"Arunachal Pradesh",0,0,0,0,4199,2099500,5,1000,0,0,0,0,0,0,0,0,0,0,4204,2100500
3,Assam,461,922000,0,0,13839,6919500,1402,280400,931,93100,117,5850,150,3000,0,0,0,0,16900,8223850
4,Bihar,78,156000,0,0,273,136500,106,21200,669,66900,414,20700,2,40,5,50,0,0,1547,401390
5,Chhattisgarh,0,0,`,0,290,145000,39,7800,168,16800,0,0,0,0,0,0,0,0,497,169600
6,Goa,13,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26000
7,Gujarat,2992,5984000,261,261000,5501,2750500,2528,505600,6034,603400,756,37800,18,360,12,120,0,0,18102,10142780
8,Haryana,462,924000,0,0,483,241500,831,166200,239,23900,0,0,0,0,0,0,0,0,2015,1355600
9,"Himachal Pradesh",3,6000,0,0,2,1000,3,600,19,1900,0,0,0,0,0,0,0,0,27,9500
10,Jharkhand,10,20000,0,0,168,84000,965,193000,639,63900,0,0,0,0,0,0,0,0,1782,360900
11,Karnataka,580,1160000,0,0,14747,7373500,1039,207800,3472,347200,9,450,0,0,0,0,0,0,19847,9088950
12,Kerala,9065,18130000,6,6000,2734,1367000,0,0,0,0,0,0,0,0,0,0,0,0,11805,19503000
13,"Madhya Pradesh",2496,4992000,0,0,6171,3085500,92,18400,1121,112100,1050,52500,0,0,0,0,0,0,10930,8260500
14,Maharashtra,4165,8330000,23,23000,10887,5443500,5180,1036000,14350,1435000,845,42250,0,0,0,0,0,0,35450,16309750
15,Manipur,0,0,1122,1122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,1122000
16,Meghalaya,5,10000,0,0,200,100000,0,0,0,0,0,0,0,0,0,0,0,0,205,110000
17,Mizoram,0,0,0,0,2390,1195000,0,0,0,0,0,0,0,0,0,0,0,0,2390,1195000
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Punjab,559,1118000,0,0,4024,2012000,1328,265600,1307,130700,56,2800,0,0,0,0,0,0,7274,3529100
21,Rajasthan,296,592000,0,0,2346,1173000,1053,210600,1962,196200,62,3100,0,0,4,40,0,0,5723,2174940
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Tamil Nadu",25012,50024000,0,0,21395,10697500,2367,473400,957,95700,208,10400,70,1400,77,770,0,0,50086,61303170
24,Telangana,1634,3268000,0,0,6547,3273500,658,131600,546,54600,412,20600,47,940,7,70,0,0,9851,6749310
25,Tripura,20,40000,0,0,100,50000,5,1000,0,0,0,0,0,0,0,0,0,0,125,91000
26,"Uttar Pradesh",349,698000,0,0,4303,2151500,389,77800,15137,1513700,518,25900,182,3640,136,1360,0,0,21014,4471900
27,Uttarakhand,100,200000,0,0,135,67500,148,29600,790,79000,0,0,0,0,0,0,0,0,1173,376100
28,"West Bengal",2347,4694000,0,0,12752,6376000,796,159200,23,2300,0,0,0,0,0,0,0,0,15918,11231500
"Total State(S)","Total State(S)",55659,111318000,1412,1412000,121485,60742500,19721,3944200,52266,5226600,7451,372550,469,9380,241,2410,0,0,258704,183027640
29,"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,80,40000,0,0,0,0,0,0,0,0,0,0,0,0,80,40000
31,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi,5194,10388000,1578,1578000,10325,5162500,2867,573400,26670,2667000,3442,172100,32,640,43,430,0,0,50151,20542070
33,"Jammu and Kashmir",62,124000,0,0,167,83500,203,40600,690,69000,0,0,0,0,0,0,0,0,1122,317100
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,8,800,1,50,0,0,0,0,0,0,9,850
"Total UT(S)","Total UT(S)",5256,10512000,1578,1578000,10572,5286000,3070,614000,27368,2736800,3443,172150,32,640,43,430,0,0,51362,20900020
"Total (States+UTs)","Total (States+UTs)",60915,121830000,2990,2990000,132057,66028500,22791,4558200,79634,7963400,10894,544700,501,10020,284,2840,0,0,310066,203927660
37,NIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CBI,0,0,0,0,3,1500,0,0,0,0,0,0,0,0,9,90,2,10,14,1600
Total(States+UTs+NIA+CBI),Total(States+UTs+NIA+CBI),60915,121830000,2990,2990000,132060,66030000,22791,4558200,79634,7963400,10894,544700,501,10020,293,2930,2,10,310080,203929260
