Class_,Year,"Region ",Status,CTSA,GOVT,"GOVT AIDED",INDEPENDENT,JNV,KV_
12,2023,Ajmer,Regd,0,4533,0,86178,3741,7736
12,2023,Ajmer,Appd,0,4524,0,85839,3730,7725
12,2023,Bhubaneswar,Regd,103,7746,0,69835,3823,11465
12,2023,Bhubaneswar,Appd,101,7688,0,69506,3809,11431
12,2023,Chandigarh,Regd,0,13060,55,89637,2549,5861
12,2023,Chandigarh,Appd,0,13025,55,89317,2537,5844
12,2023,"Delhi East",Regd,0,100216,6420,64953,81,6669
12,2023,"Delhi East",Appd,0,99566,6393,64774,81,6661
12,2023,Pune,Regd,0,1535,0,22801,1673,4859
12,2023,Pune,Appd,0,1534,0,22742,1662,4849
12,2023,Guwahati,Regd,0,20672,102,20768,4536,6071
12,2023,Guwahati,Appd,0,20518,101,20601,4481,6047
12,2023,Panchkula,Regd,38,357,0,118675,2231,3615
12,2023,Panchkula,Appd,38,357,0,118046,2225,3607
12,2023,Bengaluru,Regd,93,70,0,12262,1901,2363
12,2023,Bengaluru,Appd,92,70,0,12214,1894,2361
12,2023,Bhopal,Regd,0,3180,0,60352,3640,7807
12,2023,Bhopal,Appd,0,3138,0,60136,3629,7794
12,2023,Chennai,Regd,0,3565,0,67799,1646,6713
12,2023,Chennai,Appd,0,3552,0,67700,1642,6701
12,2023,Noida,Regd,0,278,921,100688,1069,4480
12,2023,Noida,Appd,0,272,920,99746,1060,4471
12,2023,Patna,Regd,0,84,0,84716,3714,5409
12,2023,Patna,Appd,0,83,0,83962,3669,5398
12,2023,Prayagraj,Regd,0,1336,0,131729,3184,8680
12,2023,Prayagraj,Appd,0,1272,0,130263,3152,8666
12,2023,Trivandrum,Regd,0,82,0,33500,973,3666
12,2023,Trivandrum,Appd,0,82,0,33462,972,3661
12,2023,Dehradun,Regd,164,1555,22,62473,1120,4312
12,2023,Dehradun,Appd,162,1552,22,62094,1117,4307
12,2023,"Delhi West",Regd,0,69504,7775,40461,65,2872
12,2023,"Delhi West",Appd,0,69109,7743,40291,65,2872
