Sl.No,"Name of the District","Beneficiaries in 2010 - 11","Beneficiaries in 2011 - 12","Beneficiaries in 2012 - 13","Beneficiaries in 2013 - 14","Beneficiaries in 2014 - 15","Beneficiaries in 2015 - 16","Beneficiaries in 2016 - 17","Beneficiaries in 2017 - 18","Grand Total"
1,Ariyalur,1024,55459,24368,6863,29116,1520,11352,4366,134068
2,Dharmapuri,45260,207363,7103,4661,23723,2668,4982,8034,303794
3,Erode,55342,165853,23487,8786,29607,227,1130,5341,289773
4,Perambalur,12664,40653,19926,4545,7270,438,564,1772,87832
5,Salem,29971,191337,39498,13351,79476,2596,10244,12006,378479
6,Villupuram,101836,327871,69122,19329,44764,3795,22193,16589,605499
7,Tiruvannamalai,21458,256516,29977,9770,10034,671,3562,21117,353105
8,Tiruppur,NA,NA,NA,NA,37636,20754,3700,52178,114268
9,Krishnagiri,NA,NA,NA,NA,81737,102962,58482,29689,272870
Total,"Grand Total",267555,1245052,213481,67305,343363,135631,116209,151092,2539688
