"SL NO","NAME OF THE DISTRICTS","NUMBER OF UNITS REGISTERED","EMPLOYMENT PROVIDED"
1,BAGALKOT,682,3556
2,BALLARI,986,7912
3,BELAGAVI,2482,16503
4,"BENGALURU (RURAL)",1656,24283
5,"BENGALURU (URBAN)",7383,56970
6,BIDAR,535,3015
7,CHAMARAJNAGAR,319,1679
8,CHIKBALLAPUR,495,3058
9,CHIKKAMAGALURU,476,2367
10,CHITRADURGA,566,27094
11,"DAKSHIN KANNAD",1409,6141
12,DAVANGERE,644,4282
13,DHARWAD,1466,8016
14,GADAG,403,2143
15,HASSAN,870,14744
16,HAVERI,563,3225
17,KALABURAGI,598,2939
18,KODAGU,264,1530
19,KOLAR,497,49058
20,KOPPAL,453,8239
21,MANDYA,691,3340
22,MYSURU,1518,11491
23,RAICHUR,587,2993
24,RAMANAGARA,407,2319
25,SHIVAMOGGA,925,3937
26,TUMAKURU,1128,6718
27,UDUPI,843,5460
28,"UTTAR KANNAD",640,2885
29,VIJAYANAGAR,172,965
30,VIJAYAPURA,823,6078
31,YADGIR,363,2070
