LG_State_Code,State_Name,Registration_count,Last_Updated
1,"JAMMU AND KASHMIR",3348824,2022-12-14T08:50:57Z
2,"HIMACHAL PRADESH",1921148,2022-12-14T08:50:57Z
3,PUNJAB,5492356,2022-12-14T08:50:57Z
4,CHANDIGARH,173770,2022-12-14T08:50:57Z
5,UTTARAKHAND,2969811,2022-12-14T08:50:57Z
6,HARYANA,5239907,2022-12-14T08:50:57Z
7,DELHI,3246323,2022-12-14T08:50:57Z
8,RAJASTHAN,12726571,2022-12-14T08:50:57Z
9,"UTTAR PRADESH",82980053,2022-12-14T08:50:57Z
10,BIHAR,28521121,2022-12-14T08:50:57Z
11,SIKKIM,22445,2022-12-14T08:50:57Z
12,"ARUNACHAL PRADESH",139800,2022-12-14T08:50:57Z
13,NAGALAND,218342,2022-12-14T08:50:57Z
14,MANIPUR,403818,2022-12-14T08:50:57Z
15,MIZORAM,58014,2022-12-14T08:50:57Z
16,TRIPURA,842505,2022-12-14T08:50:57Z
17,MEGHALAYA,281221,2022-12-14T08:50:57Z
18,ASSAM,6860585,2022-12-14T08:50:57Z
19,"WEST BENGAL",25715632,2022-12-14T08:50:57Z
20,JHARKHAND,9111525,2022-12-14T08:50:57Z
21,ODISHA,13315298,2022-12-14T08:50:57Z
22,CHHATTISGARH,8234968,2022-12-14T08:50:57Z
23,"MADHYA PRADESH",16791003,2022-12-14T08:50:57Z
24,GUJARAT,9088859,2022-12-14T08:50:57Z
27,MAHARASHTRA,13349947,2022-12-14T08:50:57Z
28,"ANDHRA PRADESH",7849581,2022-12-14T08:50:57Z
29,KARNATAKA,7271200,2022-12-14T08:50:57Z
30,GOA,49265,2022-12-14T08:50:57Z
31,LAKSHADWEEP,2379,2022-12-14T08:50:57Z
32,KERALA,5901381,2022-12-14T08:50:57Z
33,"TAMIL NADU",8272088,2022-12-14T08:50:57Z
34,PONDICHERRY,176186,2022-12-14T08:50:57Z
35,"ANDAMAN AND NICOBAR ISLANDS",28343,2022-12-14T08:50:57Z
36,TELANGANA,4002546,2022-12-14T08:50:57Z
37,LADAKH,28163,2022-12-14T08:50:57Z
38,"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",72747,2022-12-14T08:50:57Z
