S.No,State/UT,"No of SAGY GPs","No. of VDPs","Total Number of Projects","No. of Projects Completed"
1,"Andaman and Nicobar Islands",3,2,242,192
2,"Andhra Pradesh",65,33,1056,360
3,"Arunachal Pradesh",7,3,216,28
4,Assam,35,26,2428,557
5,Bihar,81,60,4824,1450
6,Chandigarh,2,2,31,14
7,Chhattisgarh,44,32,2673,1457
8,"Dadra And Nagar Haveli",1,0,0,0
9,"Daman And Diu",1,1,52,32
10,Delhi,13,0,0,0
11,Goa,5,4,610,84
12,Gujarat,73,56,1458,1088
13,Haryana,32,31,1549,944
14,"Himachal Pradesh",15,14,1293,401
15,"Jammu And Kashmir",14,12,890,398
16,Jharkhand,50,42,3986,1563
17,Karnataka,57,55,9640,5049
18,Kerala,78,55,3466,1406
19,Lakshadweep,1,1,79,4
20,"Madhya Pradesh",68,52,2531,1653
21,Maharashtra,133,101,6837,2989
22,Manipur,12,12,787,348
23,Meghalaya,7,4,320,86
24,Mizoram,5,5,514,325
25,Nagaland,3,2,71,16
26,Odisha,46,36,942,165
27,Puducherry,2,2,72,17
28,Punjab,32,23,815,250
29,Rajasthan,77,63,3531,1313
30,Sikkim,4,4,162,112
31,"Tamil Nadu",158,120,4012,3746
32,Telangana,45,32,1638,746
33,Tripura,4,3,159,86
34,"Uttar Pradesh",268,257,6166,5400
35,Uttarakhand,15,9,475,403
36,"West Bengal",9,1,61,0
Total,Total,1465,1155,63586,32682
